% Model:              Maglev electromagnet small scale.mph
% Version:            COMSOL 6.2.0.415
% Date:               Mar 10 2025, 12:50
% Dimension:          1
% Nodes:              804
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Magnetic flux density, z-component
0                         0.10444158222352411
0.12579810482089787       0.10460417247484695
0.30585065685954943       0.10483688496069056
0.967251930339969         0.10569172613205433
1.500000000000015         0.10638028692286369
1.8126455322643076        0.10678437183128252
2.008173499542911         0.10703708582395939
2.221865512123352         0.10731327629662674
2.810057133136559         0.10807349620314036
3.0000000000000306        0.10831899162220317
3.5636229353505917        0.10904745724448284
4.192927085786826         0.10986081385365913
4.317932919425804         0.11002238011840629
4.500000000000046         0.11025769632154249
4.958170699346465         0.11095741031549725
4.993632523112803         0.11075547242107864
5.020701391688967         0.11105494170554635
5.463082084087597         0.11284057571690398
6.417757474847522         0.1147031367044813
6.478078725317049         0.11479123696756184
7.3458980834107575        0.11605870263114355
7.432370103248572         0.11618499655969308
7.578248268179373         0.11639805422358546
8.519465690699647         0.11831335986699246
8.664824446234629         0.11947856327996617
8.694159299656436         0.1182475905488935
9.291391198742478         0.11925471133215604
9.48146836765141          0.1200071299072143
9.837056196888145         0.1214147207784281
10.519573596378791        0.12411645908884708
10.755957307214263        0.125052181647715
11.071138948378238        0.1262998250269298
11.715362349991185        0.12884997692914507
12.220523415686083        0.1308496519632739
12.3449878931011          0.13134234335424705
12.55302190049984         0.13216584389515432
12.660809529105075        0.13259252014664524
13.68508952415789         0.13829535804497545
14.062268764449382        0.14152295574561793
14.203674695894867        0.142115064540537
14.214792435649754        0.1426637064463546
14.32436875035315         0.143991509958632
14.64780905036323         0.14642880194923558
15.172245026132094        0.15038070158352965
15.246797103502283        0.15094249051660807
15.650678415773802        0.1539859476477172
16.51545191115765         0.16050246866850365
16.726016731443618        0.16208918482592083
16.876109643335894        0.16322021349485913
16.93718886966358         0.15992166728341167
17.318801379608406        0.16212809425224178
17.4166879917423          0.16365822452248563
18.38134068787277         0.17873734779015632
19.049840230425           0.18918710555993423
19.17468073532233         0.19113856992601766
19.825492506081964        0.20131183845540773
20.69714028301735         0.21382652852969564
21.00355987262905         0.21623358986306274
21.081737321066505        0.21713106093305418
21.129584514505584        0.21768034301823505
21.23476983628436         0.21888786238821945
21.47688310739222         0.22166730404080948
21.722541367693506        0.22448744189554132
22.220432924567977        0.23020319851358043
22.260609057966857        0.2347469914343407
22.321604011172415        0.24089256141424406
22.861148127133077        0.25914124064161814
23.20296758205873         0.27070239644350813
23.433377958541122        0.28079274055968867
23.508182786820278        0.2853809099808799
24.060058164032675        0.30228180086743855
24.296134771552083        0.30951152183217545
24.648703654290074        0.3218501512750266
25.359314139956943        0.3475140264812868
25.79551673549425         0.3623214195527641
25.842546236520814        0.363917889438043
25.870484550672245        0.36486628727800774
26.321296887887947        0.3801696246421567
27.205787472440885        0.4101946632079275
27.569590040605565        0.4225443550308108
28.326545079653684        0.4482400544954478
28.607594804090468        0.4577806069473188
28.623494850224137        0.4583203520918103
28.941906293953057        0.4691291905856368
29.296633844690312        0.5197504983145632
30.09236415631956         0.5987627162205559
30.681071606633946        0.6286760390032127
31.128791080076294        0.6791363439768312
32.04108064659402         0.6977889469100516
32.31099104747917         0.6951089716192946
32.521729349497505        0.693016523753732
33.093201681642114        0.6873423010321322
33.82513472270139         0.6800748431716925
33.87541231580505         0.7024662583302845
33.89361917323252         0.725389208829194
33.93635394207774         0.7254650758164527
34.53967273708558         0.7265361469973832
34.79671260370564         0.7269924695846539
35.1857263009387          0.7276830851655713
35.43534942939967         0.7281262408258966
35.718012891606364        0.7286280529537084
35.83177986479181         0.7288300233337611
36.09881141159613         0.7293040841396701
36.47783342864486         0.7299769615019507
36.639313179506956        0.7302636363227638
37.12388699249793         0.731123899670139
37.560613467407634        0.7318992196918178
37.76994055635101         0.7322708378383279
38.261268881114276        0.7331430924628874
38.41599412020411         0.7334177760065181
38.48191375530829         0.7315738284081421
38.661816914533475        0.7296943743982203
39.184513889265396        0.7299312273448777
39.53078933827465         0.7302095922310899
39.87343578404567         0.7301790096854277
40.16866536386047         0.7300480118010929
40.549065199767654        0.7298792225702292
40.66372307217557         0.7298283471169047
41.22469461548967         0.7295794354550282
41.79665680607654         0.7293256470747018
41.86159680912813         0.7292968322011593
41.90032403121169         0.7297601534447505
42.03349613221566         0.7302356298520815
42.716276540900054        0.7302098474534584
43.48887574178048         0.7301806734169467
43.53222905058843         0.7301790363572492
43.58755082398836         0.7301769473576292
44.34818156027679         0.7301482252610388
44.944255351345305        0.7298584450723538
45.14040633456961         0.7295465491538046
45.769394494798675        0.7294034554363013
46.272188836096824        0.7292890705941251
46.59620786046806         0.729215356827043
46.9892759157258          0.729519123987079
47.24614107575009         0.7303494277430043
47.33676122508554         0.7305036384681143
47.63591130746078         0.731012710142107
47.80454633802529         0.7312996808713843
48.09216777882542         0.7317891339485201
48.36295160030047         0.7322499339997632
48.521714583629546        0.7325059139332113
49.551482435527056        0.7339346548432784
49.94736788952224         0.7357825108543249
50.0151573990279          0.736492253704946
50.114345108254604        0.7356386535102521
50.36245640658957         0.7336563200249979
50.919948430454916        0.7321227072023756
51.12377785864113         0.7315060907487666
51.866628633772415        0.729258848951541
52.12375997206173         0.7284809857384633
52.14145678300419         0.7284274500694449
52.165675549474514        0.7283541844471813
52.48501277056953         0.7273881385404197
53.15913570736727         0.72534880939014
53.69840140431452         0.7237174448488941
53.88506353753387         0.7231527621942182
54.17681463173035         0.7023826351600273
54.51569493600587         0.6881918357720576
