% Model:              Maglev electromagnet small scale.mph
% Version:            COMSOL 6.2.0.415
% Date:               Mar 10 2025, 13:17
% Dimension:          1
% Nodes:              929
% Expressions:        1
% Description:        Line graph
% Arc length (mm)         Magnetic flux density, y-component
0                         0
0.17648751031392915       -8.093480636937568E-6
0.45813162018777237       -2.1009301964559075E-5
0.6316395105971642        -2.8966141226931883E-5
0.7403652908447838        -3.395215975937523E-5
1.0867915108804096        -4.9838801816926676E-5
1.4807305816896075        -6.790431951875231E-5
1.5419435111636488        -7.07114624069212E-5
1.639628956461272         -7.519118597841144E-5
1.997095511446881         -9.15841229969154E-5
2.2210958725344057        -1.018564792781282E-4
2.4522475117301283        -1.1245678358691028E-4
2.821126292734797         -1.2937306999226498E-4
2.9073995120133675        -1.3332944417690477E-4
2.961461163379215         -1.3580863903750462E-4
3.1969894329687634        -1.4660964974916158E-4
3.3625515122966125        -1.5420210476689954E-4
3.701826454224034         1.3474885728941547E-4
3.8821301443205205        4.3987483952289764E-4
4.3898291430854295        4.4161029023758456E-4
4.8693562494231255        4.4324944190279024E-4
5.077831831946846         4.439620670988733E-4
5.29855521361882          4.447165585424246E-4
5.765834520808246         4.4631384396072676E-4
6.207184798380446         2.4383041527839238E-4
6.570615439894532         7.299698215386912E-5
6.978752356532589         1.1023453745669749E-4
7.584354804003743         -1.7872286654556084E-5
7.829220163728357         -1.8293225000192125E-4
8.254277677639333         -1.5116428551893352E-4
8.65347808298603          -1.2132883058964092E-4
8.967592963309823         -9.785250083389866E-5
9.722601361968318         -4.142465469959582E-5
10.10596576289128         -1.2772751665318271E-5
10.459601387178388        1.3657280940742632E-5
10.791724640950598        3.847952118909479E-5
11.244338562472766        -2.3054586449245586E-4
12.35540529543724         -4.580321911028931E-4
12.572891686521483        -4.4736361889784356E-4
12.708456387424146        -4.26929581230993E-4
13.276620683340113        -3.241718095826077E-4
13.908434067983697        -2.0990251112324132E-4
14.541323367602631        -9.543862348370628E-5
15.110455190464505        7.494134368160166E-6
15.243976449445901        3.164268988137632E-5
15.41118750147555         6.188435628850966E-5
15.806026051865143        1.3329456261548401E-4
16.579518830908086        2.7318789088640516E-4
17.07072873612765         3.62027748712626E-4
17.5124539935048          0.0010213335243818963
17.945812054633002        0.0016445831116499578
18.405221253520537        0.0016910520817575137
18.865564384043388        0.0017376155185013305
19.383362177593742        0.0010679911395801032
19.898868084345235        1.7900049808675827E-4
20.149867115952496        9.76926814797286E-5
20.481225366016602        -9.646441123394345E-6
20.916372054311246        -1.5060645559700355E-4
21.245989311005275        -1.5744230784491816E-4
21.863481747533907        -7.30860678223957E-5
22.120950972423184        -7.95835692815515E-5
22.41540276719727         -8.701436403855E-5
22.946851734517423        -1.0042602689801016E-4
23.235570462674502        -1.0771214180520358E-4
23.54143992019895         -1.1543107305876535E-4
24.030221721500943        9.742574233619587E-7
24.410597936634826        1.2992423458196237E-4
25.27713260121778         1.3040202884682386E-4
25.735650555540737        8.950307981651115E-5
26.53424789347047         2.7271868865827095E-6
26.782494008461974        -1.1455193873539287E-5
27.03857778581929         -2.608534281699835E-5
27.797297924874556        -6.94312695112342E-5
28.065172778609305        -1.2904594454579878E-4
28.20216865547848         -1.9264722969143615E-4
28.449531142791276        -2.2747833726259644E-4
28.848114492384855        -2.8360285184371805E-4
29.068860475642943        -3.146860899374372E-4
29.355670403685064        -9.420290118236586E-5
29.780045839966093        1.3109097808593879E-4
30.348774816574927        8.341494034251354E-5
30.770448664270003        4.806640157378905E-5
31.341879229464787        1.6389209203233923E-7
31.76085148857392         -9.081123501225526E-5
32.1182045226654          -1.256233064541454E-4
32.48521483448445         -1.0401369617635732E-4
33.00455363018971         -7.343496687109105E-5
33.209578180394985        -6.136309726773761E-5
33.35446649746981         -5.2832056136066544E-5
33.93394152630552         -1.8712498358189636E-5
34.197523733081105        -3.1927470566691767E-6
34.65830487221604         2.3938100549765183E-5
34.75392901419164         2.956846126353768E-5
35.3826682181266          1.1978903307091721E-4
35.889403973875           1.4586087504394054E-4
36.5390964302443          1.1107908557858497E-4
37.161771184943525        7.774370972334546E-5
37.19869091587466         7.576718329795515E-5
37.20152856071553         7.561526778090143E-5
37.299322508860456        7.037979293113931E-5
37.32913601624061         6.8783703694199E-5
37.389597283652805        1.2700926689569305E-4
37.47319573147959         1.8997490436896048E-4
