x,Bz_ag,Bx_ag,B_ag
0.07035175879396983,0.022974909503944867,-4.59855543038112e-05,0.022974955525216164
0.07135678391959799,0.023074998198713517,-4.687538851283397e-05,0.02307504581084684
0.07236180904522613,0.02317699161022254,-4.7777054609471296e-05,0.02317704085398464
0.07336683417085427,0.023280914226141182,-4.869086152305029e-05,0.023280965143329835
0.0743718592964824,0.02338679116981058,-4.961712614670185e-05,0.02338684380329114
0.07537688442211055,0.023494648216571812,-5.055617361974026e-05,0.023494702610315204
0.07638190954773869,0.023604511810713977,-5.150833762274826e-05,0.023604568009836156
0.07738693467336683,0.023716409082967307,-5.247396067869732e-05,0.02371646713377023
0.07839195979899496,0.02383036786866885,-5.345339446931439e-05,0.02383042781868309
0.0793969849246231,0.02394641672655076,-5.444700016447185e-05,0.02394647862457979
0.08040201005025124,0.02406458495819392,-5.5455148763012424e-05,0.024064648854360153
0.08140703517587938,0.02418490262821321,-5.647822144850297e-05,0.024184968574005882
0.08241206030150752,0.024307400585149914,-5.75166099589644e-05,0.02430746863347493
0.08341708542713566,0.024432110483103904,-5.857071696930704e-05,0.02443218068833566
0.08442211055276382,0.024559064804231066,-5.96409565001299e-05,0.024559137222266447
0.08542713567839195,0.024688296881965933,-6.0727754331602156e-05,0.02468837157028051
0.0864321608040201,0.02481984092517684,-6.183154843703815e-05,0.024819917942883397
0.08743718592964823,0.024953732043185052,-6.295278944061278e-05,0.024953811451094574
0.08844221105527637,0.025090006271720654,-6.409194108905305e-05,0.025090088132405878
0.08944723618090451,0.02522870059985613,-6.524948074651696e-05,0.02522878497771779
0.09045226130653265,0.025369852997945294,-6.642589991266014e-05,0.0253699399592812
0.09145728643216079,0.02551350244663145,-6.762170475976054e-05,0.02551359205970856
0.09246231155778893,0.025659688966958367,-6.883741669017204e-05,0.025659781302087934
0.09346733668341707,0.025808453651630904,-7.007357292840043e-05,0.02580854878124695
0.09447236180904521,0.025959838697488045,-7.133072713477884e-05,0.02595993669622928
0.09547738693467335,0.026113887439217137,-7.26094500432835e-05,0.02611398838401247
0.0964824120603015,0.026270644384422323,-7.391033013174859e-05,0.02627074835458024
0.09748743718592964,0.02643015525002898,-7.523397432193893e-05,0.026430262327330895
0.09849246231155778,0.02659246700015304,-7.658100871329233e-05,0.026592577268950895
0.09949748743718592,0.026757627885456516,-7.795207935096666e-05,0.02675774143277484
0.10050251256281406,0.026925687484101807,-7.934785302628604e-05,0.02692580439974443
0.1015075376884422,0.027096696744330795,-8.076901811911504e-05,0.02709681712099255
