x,By,Bz,B
0.8367016666666557,-7.388412835903117e-06,0.00035805054729716343,0.000358126769544015
0.8376983333333223,-7.342604020104331e-06,0.0003558311970763699,0.00035590694661188964
0.838694999999989,-7.297079423380502e-06,0.0003536256057869404,0.00035370088554637763
0.8396916666666556,-7.251837278615109e-06,0.00035143368808483874,0.00035150850098515006
0.8406883333333223,-7.2068758297466035e-06,0.00034925535915628726,0.00034932970809625194
0.8416849999999889,-7.162193331699444e-06,0.00034709053471428716,0.0003471644225746215
0.8426816666666556,-7.117788050300349e-06,0.000344939130995588,0.0003450125606390591
0.8436783333333222,-7.073658262248738e-06,0.0003428010647571987,0.0003428740390287375
0.8446749999999889,-7.029802255028047e-06,0.00034067625327323327,0.0003407487750000475
0.8456716666666555,-6.9862183267924306e-06,0.0003385646143316538,0.0003386366863233384
0.8466683333333221,-6.942904786347049e-06,0.00033646606623110686,0.00033653769127975526
0.8476649999999888,-6.8998599530741735e-06,0.00033438052777769574,0.00033445170865800997
0.8486616666666554,-6.857082156859293e-06,0.00033230791828185166,0.0003323786577512517
0.8496583333333221,-6.814569738017209e-06,0.0003302481575551455,0.0003303184583538779
0.8506549999999887,-6.772321047262486e-06,0.00032820116590717377,0.00032827103075841983
0.8516516666666554,-6.7303344455961325e-06,0.00032616686414248914,0.0003262362957524722
0.852648333333322,-6.68860830422679e-06,0.00032414517355748606,0.00032421417461557745
0.8536449999999887,-6.647141004580575e-06,0.0003221360159373169,0.00032220458911614224
0.8546416666666553,-6.605930938207482e-06,0.00032013931355289105,0.0003202074615084362
0.855638333333322,-6.564976506673003e-06,0.0003181549891577711,0.00031822271452948577
0.8566349999999886,-6.524276121508856e-06,0.0003161829659853059,0.0003162502713962074
0.8576316666666552,-6.483828204188356e-06,0.0003142231677454225,0.000314290055802199
0.8586283333333219,-6.443631186057451e-06,0.00031227551862188766,0.00031234199191500147
0.8596249999999885,-6.403683508250961e-06,0.0003103399432691891,0.0003104060043729782
0.8606216666666552,-6.363983621623613e-06,0.00030841636680966846,0.00030848201828244745
0.8616183333333218,-6.32452998670078e-06,0.00030650471483057535,0.0003065699592147362
0.8626149999999885,-6.285321073609507e-06,0.00030460491338124,0.00030466975320335145
0.8636116666666551,-6.246355362044019e-06,0.0003027168889701222,0.00030278132674102975
0.8646083333333218,-6.207631341181985e-06,0.00030084056856196934,0.00030090460677689365
0.8656049999999884,-6.1691475096204646e-06,0.00029897587957495426,0.00029903952071358897
0.8666016666666551,-6.130902375341423e-06,0.0002971227498779319,0.0002971859964045413
