x,By,Bz,B
0.0,0.0001641749377545673,0.9999999865232949,1.0
0.0010050251256281,0.00016186370944429367,0.9999795078080592,0.9999795209082577
0.0020100502512562,0.00015955266953908407,0.9999592420408603,0.9999592547699061
0.0030150753768844,0.00015724149605544316,0.999939189677361,0.9999392020405568
0.0040201005025125,0.00015492982171738543,0.9999193507657544,0.9999193627683473
0.0050251256281407,0.00015261720887586183,0.9998997248461284,0.9998997364933025
0.0060301507537688,0.00015030311664014932,0.9998803107962211,0.9998803220930864
0.0070351758793969,0.00014798685639750287,0.9998611066077288,0.9998611175593047
0.0080402010050251,0.00014566753043740856,0.9998421090654287,0.9998421196766187
0.0090452261306532,0.0001433439462661216,0.9998233132873301,0.9998233235628889
0.0100502512562814,0.0001410144970470262,0.9998047120759578,0.9998047220204439
0.0110552763819095,0.00013867699331016688,0.9997862949953795,0.9997863046130889
0.0120603015075376,0.00013632842563687138,0.999768047067026,0.9997680563619018
0.0130653266331658,0.00013396463014236971,0.9997499469217039,0.9997499558972093
0.0140703517587939,0.00013157981601803192,0.9997319641850791,0.9997319728440242
0.0150753768844221,0.00012916589779017279,0.9997140557759852,0.9997140641202857
0.0160804020100502,0.00012671155139569213,0.9996961606677822,0.9996961686981306
0.0170854271356783,0.0001242008793868458,0.9996781924715068,0.9996782001869189
0.0180904522613065,0.00012161152257387332,0.9996600289368004,0.9996600363339965
0.0190954773869346,0.00011891198879722387,0.9996414970888813,0.9996415041614473
0.0201005025125628,0.00011605787350244158,0.9996223521864908,0.9996223589237501
0.0211055276381909,0.0001129865120152183,0.9996022479332412,0.9996022543187568
0.022110552763819,0.00010960941416976634,0.9995806943084213,0.999580700318053
0.0231155778894472,0.00010580156203484556,0.9995569978750715,0.9995570034745374
0.0241206030150753,0.00010138627374976887,0.9995301772949681,0.9995301824369722
0.0251256281407035,9.611380485121776e-05,0.9994988437724076,0.9994988483936553
0.0261306532663316,8.963111219817069e-05,0.9994610319121108,0.999461035931145
0.0271356783919597,8.143916418732092e-05,0.9994139605122796,0.9994139638303927
0.0281407035175879,7.08327356637989e-05,0.9993536944465223,0.999353696956783
0.029145728643216,5.681563724968021e-05,0.9992746670829363,0.9992746686981163
0.0301507537688442,3.798162463404262e-05,0.9991690064186942,0.999169007140596
0.0311557788944723,1.2347628363091803e-05,0.9990255856342676,0.9990255857105739
0.0321608040201005,-2.2878725387921747e-05,0.9988286881126711,0.9988286883746961
0.0331658291457286,-7.162110332830015e-05,0.9985561357764032,0.9985561383449031
0.0341708542713567,-0.00013937630715507614,0.9981766756564108,0.9981766853870303
0.0351758793969849,-0.00023381248503504334,0.9976463516991115,0.997646379097737
0.036180904522613,-0.0003655631702090161,0.9969035089409712,0.9969035759667294
0.0371859296482412,-0.0005492501505841139,0.9958619949378161,0.99586214640243
0.0381909547738693,-0.0008047402355723732,0.9944020643633463,0.9944023899895513
0.0391959798994974,-0.0011585697846471991,0.9923585135373757,0.9923591898471319
0.0402010050251256,-0.0016453209727955824,0.9895057836789657,0.9895071515735637
