# $NEW GRAPH$

# $NEW TRACE 2D$
# $LEGEND$: $$
# $LABEL X$: $Step$
# $LABEL Y$: $Objective$
# $BEGIN DATA$
0	54179.56430613497
1	46757.826547531404
2	41267.612107204935
3	40810.51266586086
4	40810.301856956656
5	40810.301856956656
6	38943.52650281819
7	37272.99376117323
8	37272.485855943174
9	36338.81666602791
10	34267.42833925646
11	34267.42833925646
12	33737.79054364343
13	33737.79054364343
14	33639.28917347238
15	33419.47558110336
16	33419.47558110336
17	33091.84827856812
18	33075.06079474022
19	33075.06079474022
20	31718.937646987448
21	31718.937646987448
22	31522.655518305633
23	31522.655518305633
24	31522.655518305633
25	31431.54579251863
26	31431.54579251863
27	31431.54579251863
28	31021.741771869616
29	31021.741771869616
30	30996.87383625139
31	30996.87383625139
32	30992.15244234246
33	30992.15244234246
34	30972.36028350819
35	30972.36028350819
36	30972.36028350819
37	30966.698458261882
38	30966.698458261882
39	30966.698458261882
40	30966.698458261882
41	30936.72709148014
42	30922.787409475804
43	30922.787409475804
44	30907.69972530514
45	30907.69972530514
46	30907.69972530514
47	30907.69972530514
48	30907.69972530514
49	30907.69972530514
50	30907.69972530514
51	30907.69972530514
52	30907.69972530514
53	30907.69972530514
54	30907.69972530514
55	30907.69972530514
56	30907.69972530514
57	30907.69972530514
58	30907.69972530514
59	30907.69972530514
60	30907.69972530514
61	30907.69972530514
62	30886.660655899046
63	30886.660655899046
64	30886.660655899046
65	30886.660655899046
66	30886.660655899046
67	30886.660655899046
68	30886.660655899046
69	30886.660655899046
70	30886.660655899046
71	30886.660655899046
72	30886.660655899046
73	30886.660655899046
74	30886.660655899046
75	30886.660655899046
76	30886.660655899046
77	30886.660655899046
78	30886.660655899046
79	30886.660655899046
80	30886.660655899046
81	30886.660655899046
82	30886.660655899046
83	30871.64641370437
84	30871.211342004815
85	30859.53290367771
86	30859.53290367771
# $END DATA$




